lang_code	language	comment	orthography	is_subtag	en_wikipedia_link	wikidata_url
tn	Tswana		Latin	FALSE	https://en.wikipedia.org/wiki/Tswana_language	http://www.wikidata.org/entity/Q34137
to	Tongan		Latin	FALSE	https://en.wikipedia.org/wiki/Tongan_language	http://www.wikidata.org/entity/Q34094
tok	Toki Pona		Latin	FALSE	https://en.wikipedia.org/wiki/Toki_Pona	http://www.wikidata.org/entity/Q36846
tpi	Tok Pisin		Latin	FALSE	https://en.wikipedia.org/wiki/Tok_Pisin	http://www.wikidata.org/entity/Q34159
tr	Turkish		Latin	FALSE	https://en.wikipedia.org/wiki/Turkish_language	http://www.wikidata.org/entity/Q256
tru	Turoyo		Syriac, Turoyo	FALSE	https://en.wikipedia.org/wiki/Turoyo_language	http://www.wikidata.org/entity/Q34040
trv	Seediq		Latin	FALSE	https://en.wikipedia.org/wiki/Seediq_language	http://www.wikidata.org/entity/Q716686
ts	Tsonga		Latin	FALSE	https://en.wikipedia.org/wiki/Tsonga_language	http://www.wikidata.org/entity/Q34327
tsg	Tausug		Latin	FALSE	https://en.wikipedia.org/wiki/Tausug_language	http://www.wikidata.org/entity/Q34142
tsk	Tseku		Tibetan	FALSE	https://en.wikipedia.org/wiki/Tseku_language	http://www.wikidata.org/entity/Q11159532
tsu	Tsou		Latin	FALSE	https://en.wikipedia.org/wiki/Tsou_language	http://www.wikidata.org/entity/Q716681
tt	Tatar		Cyrillic, Latin	FALSE	https://en.wikipedia.org/wiki/Tatar_language	http://www.wikidata.org/entity/Q25285
tt-cyrl	Tatar in Cyrillic script		Cyrillic	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q39132549
tt-latn	Tatar in Latin script		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q39134544
ttm	Northern Tutchone		Latin	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q20822
tum	Tumbuka		Latin	FALSE	https://en.wikipedia.org/wiki/Tumbuka_language	http://www.wikidata.org/entity/Q34138
tvl	Tuvaluan		Latin	FALSE	https://en.wikipedia.org/wiki/Tuvaluan_language	http://www.wikidata.org/entity/Q34055
tvn	Tavoyan dialects		Burmese	FALSE	https://en.wikipedia.org/wiki/Tavoyan_dialects	http://www.wikidata.org/entity/Q7689158
tvx	Taivoan		Latin	FALSE	https://en.wikipedia.org/wiki/Taivoan_language	http://www.wikidata.org/entity/Q1975271
tw	Twi		Adinkra	FALSE	https://en.wikipedia.org/wiki/Twi	http://www.wikidata.org/entity/Q36850
ty	Tahitian		Latin	FALSE	https://en.wikipedia.org/wiki/Tahitian_language	http://www.wikidata.org/entity/Q34128
