lang_code	language	orthography	observed_scripts	keep_these_scripts	is_subtag
mi	Māori	Latin	Common,Latin	Latin	FALSE
mic	Mi'kmaq	Latin			FALSE
min	Minangkabau	Latin	Common,Latin	Latin	FALSE
mis	language without a specific language code	Latin			FALSE
mis-x-Q2417210	Old Swedish	Latin			TRUE
mk	Macedonian	Cyrillic	Common,Cyrillic	Cyrillic	FALSE
ml	Malayalam	Malayalam	Common,Malayalam	Malayalam	FALSE
mn	Mongolian	Cyrillic, Arabic, Mongolian	Common,Cyrillic,Latin,Mongolian	Cyrillic, Arabic, Mongolian	FALSE
mnc	Manchu	Manchu			FALSE
mni	Meitei	Meitei, Bengali	Meetei_Mayek	Meetei_Mayek	FALSE
mnw	Mon	Burmese	Myanmar	Myanmar	FALSE
mo	Moldovan	Latin, Cyrillic	Common,Latin	Latin, Cyrillic	FALSE
moe	Innu-aimun	Latin			FALSE
mr	Marathi	Devanagari	Devanagari	Devanagari	FALSE
mrh	Mara	Latin			FALSE
mrj	Hill Mari	Cyrillic	Cyrillic	Cyrillic	FALSE
ms	Malay	Latin	Common,Latin	Latin	FALSE
ms-arab	Malay in Jawi script	Arabic	Arabic	Arabic	TRUE
mt	Maltese	Latin	Common,Latin	Latin	FALSE
mui	Musi	Latin			FALSE
mul	multiple languages	Latin			FALSE
mus	Muscogee	Latin	Common,Latin	Latin	FALSE
mwl	Mirandese	Latin	Common,Latin	Latin	FALSE
mwv	Mentawai	Latin			FALSE
my	Burmese	Burmese	Myanmar	Myanmar	FALSE
myv	Erzya	Cyrillic	Cyrillic	Cyrillic	FALSE
mzn	Mazanderani	Arabic	Arabic	Arabic	FALSE
na	Nauruan	Latin	Common,Latin	Latin	FALSE
nah	Nahuatl	Latin	Common,Latin	Latin	FALSE
	Southern Min	CJK	Common,Latin	Latin	FALSE
nan-hani	nan-hani	Latin	Han	Han	TRUE
nap	Neapolitan	Latin	Common,Latin	Latin	FALSE
nb	Bokmål	Latin	Common,Latin	Latin	FALSE
nds	Low German	Latin	Common,Latin	Latin	FALSE
nds-nl	Dutch Low Saxon	Latin	Common,Latin	Latin	TRUE
ne	Nepali	Devanagari	Devanagari	Devanagari	FALSE
new	Newar	Devanagari	Devanagari	Devanagari	FALSE
ng	Ndonga	Latin	Common,Latin	Latin	FALSE
nia	Nias	Latin	Latin	Latin	FALSE
niu	Niuean	Latin	Common,Latin	Latin	FALSE
nl	Dutch	Latin	Common,Latin	Latin	FALSE
nl-be	Belgian Dutch	Latin			TRUE
nl-informal	informal Dutch	Latin	Latin	Latin	TRUE
nn	Nynorsk	Latin	Common,Latin	Latin	FALSE
nn-hognorsk	Høgnorsk	Latin			TRUE
no	Norwegian Wikipedias	Latin	Latin	Latin	FALSE
no	Norwegian	Latin	Latin	Latin	FALSE
nod	Northern Thai	Thai, Tai Tham	Tai_Tham,Thai	Tai_Tham,Thai	FALSE
nog	Nogai	Cyrillic			FALSE
non	Old Norse	Latin			FALSE
nov	Novial	Latin	Common,Latin	Latin	FALSE
nqo	N'Ko	NKo	Nko	Nko	FALSE
nr	Southern Ndebele	Latin			FALSE
nrf-gg	Guernésiais	Latin			TRUE
nrf-je	Jèrriais	Latin			TRUE
nrm	Norman	Latin	Common,Latin	Latin	FALSE
nsk	Naskapi	Latin			FALSE
nso	Northern Sotho	Latin	Common,Latin	Latin	FALSE
nui	Kombe	Latin			FALSE
nv	Navajo	Latin	Common,Latin	Latin	FALSE
nxm	Numidian	Tifinagh			FALSE
ny	Chewa	LatIn	Common,Latin	Latin	FALSE
nys	Noongar	Latin	Common,Latin	Latin	FALSE
oc	Occitan	Latin	Common,Latin	Latin	FALSE
oj	Ojibwe	Latin			FALSE
olo	Livvi-Karelian	Cyrillic	Common,Latin	Cyrillic	FALSE
om	Oromo	Latin	Common,Latin	Latin	FALSE
ood	O'odham	Latin			FALSE
or	Odia	Odia	Oriya	Oriya	FALSE
os	Ossetian	Cyrillic	Cyrillic	Cyrillic	FALSE
osa	Osage	Latin			FALSE
osa-latn	Osage in Latin script	Latin			TRUE
ota	Ottoman Turkish	Arabic	Arabic,Common,Latin	Arabic	FALSE
otk	Old Turkic	Arabic			FALSE
ovd	Elfdalian	Latin			FALSE
