count	language_code	type
929	lrc	LOC
928	cr	ORG
925	mai	ORG
920	ruq-latn	ORG
919	shi-latn	ORG
915	arn	ORG
911	pih	LOC
906	os	PER
894	ug	PER
894	tw	LOC
888	km	PER
887	mh	ORG
884	srn	LOC
884	shi	PER
883	sd	ORG
877	tyv	PER
868	mo	LOC
866	ng	ORG
858	mo	ORG
855	lez	PER
854	tn	LOC
852	atj	LOC
850	srq	PER
842	es-419	PER
837	mhr	PER
835	bxr	LOC
824	kk-cn	PER
824	crh	ORG
823	ch	LOC
806	ug	ORG
803	ltg	LOC
798	pdt	ORG
797	lg	LOC
796	vot	ORG
793	rmy	LOC
789	ku-arab	PER
782	atj	ORG
779	din	PER
778	dtp	ORG
776	xal	LOC
776	vro	ORG
770	as	LOC
765	crh	PER
759	gan	ORG
757	av	LOC
756	smj	LOC
754	rn	LOC
749	nys	ORG
747	to	LOC
741	sdc	ORG
736	sms	ORG
735	mrj	ORG
735	aln	ORG
732	sli	ORG
724	sat	ORG
724	qug	ORG
724	pi	LOC
717	rif	ORG
712	kri	PER
710	sei	ORG
707	kea	PER
700	cps	PER
690	chy	LOC
689	bto	PER
687	krl	PER
687	ff	LOC
681	rue	PER
680	ve	LOC
679	ik	LOC
675	niu	PER
674	jbo	LOC
671	lus	ORG
671	loz	ORG
669	myv	PER
663	tt-cyrl	PER
650	szy	PER
641	ts	LOC
641	tru	ORG
641	lzz	ORG
626	sg	LOC
614	fit	LOC
599	nqo	LOC
596	lrc	ORG
592	dv	LOC
585	avk	ORG
583	km	ORG
571	sjd	PER
567	mni	PER
563	kbd	LOC
559	udm	ORG
552	mni	LOC
550	ee	LOC
544	kiu	PER
543	mhr	ORG
541	lo	PER
541	bcc	PER
527	lez	ORG
523	sms	LOC
523	kbp	LOC
521	gan	PER
518	ses	PER
512	lo	LOC
511	ss	LOC
508	bxr	ORG
503	dty	ORG
497	tt-latn	LOC
485	gan-hans	ORG
450	mni	ORG
447	arc	LOC
445	tay	PER
441	tt-cyrl	LOC
441	gcr	LOC
441	arn	LOC
439	kbp	ORG
428	aa	LOC
427	hz	LOC
427	cho	LOC
422	smj	ORG
421	lld	LOC
411	myv	ORG
409	mus	LOC
409	kr	LOC
407	tcy	PER
402	got	LOC
399	tg-cyrl	LOC
398	ab	LOC
390	arq	PER
388	simple	ORG
385	alt	LOC
381	cu	LOC
378	gom-latn	ORG
367	nqo	PER
363	es-419	ORG
358	es-formal	LOC
356	cr	LOC
355	lo	ORG
352	ug-latn	LOC
351	udm	PER
349	kv	ORG
346	vot	LOC
346	lld	ORG
344	ike-latn	LOC
344	bbc	PER
338	shi	LOC
338	lld	PER
334	egl	ORG
334	dv	ORG
330	pdt	LOC
328	got	ORG
327	hif-latn	LOC
323	shn	ORG
322	nqo	ORG
321	lbe	LOC
318	grc	LOC
314	kj	LOC
313	bxr	PER
312	shi-latn	LOC
312	ruq-latn	LOC
309	shi	ORG
306	mrj	PER
305	xal	ORG
301	gcr	ORG
299	inh	LOC
298	es-formal	ORG
293	pi	ORG
283	krc	LOC
283	gom	LOC
281	gom-latn	LOC
281	aln	LOC
280	tay	LOC
279	liv	ORG
271	arc	ORG
271	ady	LOC
268	mdf	LOC
264	qug	LOC
263	ng	LOC
260	ku-arab	ORG
257	sje	ORG
256	mh	LOC
253	awa	LOC
252	tly	PER
248	dv	PER
247	tt-cyrl	ORG
242	lrc	PER
242	hrx	ORG
235	gom	PER
235	chr	LOC
234	pnt	LOC
233	iu	LOC
233	av	ORG
223	liv	LOC
223	aeb-arab	LOC
220	gom	ORG
219	simple	LOC
218	dtp	LOC
217	aeb-arab	ORG
216	mad	LOC
216	ab	PER
214	ab	ORG
212	tg-cyrl	ORG
207	gan-hans	PER
205	gom-deva	LOC
204	gan-hant	PER
202	krc	ORG
200	aeb-latn	ORG
198	bbc-latn	ORG
195	chr	ORG
191	tyv	LOC
191	kv	PER
191	glk	PER
190	sei	LOC
189	uz	PER
187	ms-arab	ORG
184	sli	LOC
183	ady	ORG
182	got	PER
181	gom-deva	ORG
181	din	LOC
180	koi	ORG
180	din	ORG
179	rif	LOC
178	tru	LOC
178	lzz	LOC
177	lus	LOC
177	loz	LOC
172	tcy	LOC
165	av	PER
163	grc	ORG
159	ks	PER
158	mad	ORG
158	awa	ORG
155	pnt	ORG
155	kea	ORG
153	gan-hant	LOC
151	kbd	ORG
148	jut	ORG
148	iu	ORG
147	tay	ORG
147	dz	LOC
145	trv	LOC
144	arc	PER
142	cu	ORG
139	sje	LOC
138	ks	LOC
136	rmf	ORG
135	ruq	LOC
135	awa	PER
134	inh	ORG
134	gcr	PER
134	bpy	PER
131	ti	LOC
131	kri	ORG
131	arq	LOC
129	mdf	PER
127	mdf	ORG
125	sju	ORG
124	es-formal	PER
123	tyv	ORG
122	trv	PER
122	tg-cyrl	PER
121	niu	ORG
121	ms-arab	LOC
118	ti	ORG
117	kbd	PER
113	dz	ORG
111	chr	PER
110	bgn	ORG
109	bgn	LOC
108	tcy	ORG
107	skr	PER
106	trv	ORG
104	als	PER
101	srq	ORG
101	krl	ORG
100	kri	LOC
100	jut	LOC
99	ks	ORG
99	glk	ORG
98	skr	LOC
93	cu	PER
91	koi	PER
87	ms-arab	PER
84	es-419	LOC
83	shn	PER
82	lbe	ORG
81	xal	PER
81	nia	LOC
80	aeb-latn	LOC
78	hrx	LOC
78	gan-hant	ORG
77	bbc-latn	LOC
77	alt	ORG
75	iu	PER
74	ruq	ORG
74	kea	LOC
73	sju	LOC
70	nys	LOC
70	alt	PER
69	als	ORG
68	krc	PER
67	ug-arab	PER
60	als	LOC
59	arq	ORG
58	rmf	LOC
57	wls	PER
56	mnw	PER
55	xsy	LOC
55	lbe	PER
53	inh	PER
52	egl	LOC
51	sjd	ORG
50	skr	ORG
50	sjd	LOC
48	pnt	PER
48	kiu	ORG
47	mnw	ORG
47	ko-kp	ORG
46	mnw	LOC
46	bcc	ORG
45	ady	PER
43	gom-deva	PER
40	nia	ORG
40	fkv	PER
39	ti	PER
39	shy-latn	LOC
39	ami	PER
33	ko-kp	PER
33	kjp	LOC
32	ota	PER
30	ug-arab	LOC
29	shy-latn	PER
29	shy-latn	ORG
28	lki	ORG
27	ses	ORG
24	no	PER
23	tly	ORG
23	pi	PER
22	ko-kp	LOC
22	ii	LOC
22	de-formal	PER
20	dz	PER
19	nia	PER
18	guc	PER
18	ban-bali	LOC
16	ug-arab	ORG
16	ike-cans	LOC
15	no	ORG
13	pwn	PER
13	de-formal	ORG
11	zgh	PER
10	crh-cyrl	PER
10	aeb	PER
9	shy	PER
9	ike-cans	ORG
8	nod	PER
8	krl	LOC
8	fkv	ORG
8	de-formal	LOC
7	nod	LOC
7	gur	PER
7	guc	ORG
6	zgh	ORG
6	zgh	LOC
6	uz-latn	PER
6	tzm	LOC
6	sty	PER
6	ike-cans	PER
6	guc	LOC
5	wls	LOC
5	tzm	ORG
5	tly	LOC
5	srq	LOC
5	ota	LOC
5	nl-informal	PER
5	niu	LOC
5	ks-arab	PER
5	kjp	PER
5	kjp	ORG
5	crh-cyrl	LOC
5	bh	PER
5	bcc	LOC
4	wls	ORG
4	ota	ORG
4	nod	ORG
4	kiu	LOC
4	hif	PER
4	ban-bali	ORG
3	tzm	PER
3	skr-arab	PER
3	shy	ORG
3	shy	LOC
3	ses	LOC
3	lki	LOC
3	khw	PER
3	crh-cyrl	ORG
3	brh	PER
3	bqi	PER
3	bas	ORG
3	anp	PER
3	aeb	ORG
2	uz	LOC
2	sty	ORG
2	skr-arab	ORG
2	ryu	PER
